,date_cd,dong,temp,hum,redust,pm10,pm25,o3,no2,co,so2,buspop,stops,consts
63,20220602,문정동,26.0,50.0,83.0,32,15,0.049,0.02,0.4,0.003,14903,49,30
64,20220602,방이동,27.0,46.0,39.0,32,15,0.049,0.02,0.4,0.003,10897,26,30
65,20220602,삼전동,27.0,51.0,21.0,32,15,0.049,0.02,0.4,0.003,8043,5,30
66,20220602,오금동,28.0,45.0,40.0,32,15,0.049,0.02,0.4,0.003,11370,24,30
67,20220602,잠실동,27.0,49.0,19.0,32,15,0.049,0.02,0.4,0.003,47908,57,30
68,20220602,장지동,27.0,49.0,55.0,32,15,0.049,0.02,0.4,0.003,11589,31,30
69,20220704,자양동,33.0,54.0,5.0,41,31,0.031,0.013,0.3,0.003,27858,61,20
70,20220704,중곡동,33.0,53.0,11.0,41,31,0.031,0.013,0.3,0.003,20760,97,20
71,20220704,광장동,33.0,54.0,5.0,41,31,0.031,0.013,0.3,0.003,5411,36,20
72,20220712,자양동,31.0,61.0,35.0,11,4,0.027,0.01,0.2,0.003,27668,61,20
73,20220712,중곡동,30.0,61.0,32.0,11,4,0.027,0.01,0.2,0.003,20939,97,20
74,20220712,구의동,30.0,62.0,75.0,11,4,0.027,0.01,0.2,0.003,24508,74,20
75,20220714,자양동,31.0,61.0,9.0,18,9,0.03,0.017,0.4,0.002,27871,61,37
76,20220714,가락동,28.0,76.0,15.0,18,9,0.03,0.017,0.4,0.002,16067,41,37
77,20220714,거여동,30.0,74.0,22.0,18,9,0.03,0.017,0.4,0.002,6819,19,37
78,20220714,마천동,26.0,84.0,57.0,18,9,0.03,0.017,0.4,0.002,10995,26,37
79,20220714,문정동,31.0,80.0,81.0,18,9,0.03,0.017,0.4,0.002,15030,49,37
80,20220714,방이동,30.0,77.0,40.0,18,9,0.03,0.017,0.4,0.002,11785,26,37
81,20220714,삼전동,31.0,62.0,13.0,18,9,0.03,0.017,0.4,0.002,8661,5,37
82,20220714,오금동,28.0,77.0,20.0,18,9,0.03,0.017,0.4,0.002,12261,24,37
83,20220714,잠실동,31.0,64.0,13.0,18,9,0.03,0.017,0.4,0.002,51054,57,37
84,20220714,장지동,30.0,85.0,27.0,18,9,0.03,0.017,0.4,0.002,12362,31,37
85,20220720,자양동,32.0,53.0,23.0,35,22,0.051,0.012,0.5,0.003,27854,61,21
86,20220720,중곡동,33.0,53.0,22.0,35,22,0.051,0.012,0.5,0.003,20294,97,21
87,20220720,광장동,31.0,53.0,8.0,35,22,0.051,0.012,0.5,0.003,5735,36,21
88,20220720,구의동,32.0,52.0,18.0,35,22,0.051,0.012,0.5,0.003,24488,74,21
89,20220728,자양동,34.0,53.0,13.0,25,17,0.042,0.011,0.3,0.003,26958,61,37
90,20220728,가락동,33.0,52.0,9.0,25,17,0.042,0.011,0.3,0.003,14722,41,37
91,20220728,거여동,34.0,53.0,14.0,25,17,0.042,0.011,0.3,0.003,6459,19,37
92,20220728,마천동,31.0,55.0,18.0,25,17,0.042,0.011,0.3,0.003,10066,26,37
93,20220728,문정동,34.0,52.0,11.0,25,17,0.042,0.011,0.3,0.003,13876,49,37
94,20220728,방이동,35.0,52.0,14.0,25,17,0.042,0.011,0.3,0.003,11341,26,37
95,20220728,삼전동,34.0,53.0,15.0,25,17,0.042,0.011,0.3,0.003,7618,5,37
96,20220728,오금동,33.0,53.0,11.0,25,17,0.042,0.011,0.3,0.003,11303,24,37
97,20220728,잠실동,34.0,54.0,13.0,25,17,0.042,0.011,0.3,0.003,48271,57,37
98,20220728,장지동,33.0,55.0,17.0,25,17,0.042,0.011,0.3,0.003,10995,31,37
99,20220826,자양동,29.0,54.0,19.0,30,20,0.044,0.016,0.5,0.003,27859,61,25
100,20220826,중곡동,30.0,54.0,17.0,30,20,0.044,0.016,0.5,0.003,21682,97,25
101,20220826,광장동,27.0,61.0,16.0,30,20,0.044,0.016,0.5,0.003,5905,36,25
102,20220826,구의동,30.0,56.0,34.0,30,20,0.044,0.016,0.5,0.003,25116,74,25
103,20220919,자양동,28.0,52.0,19.0,18,7,0.031,0.009,0.3,0.002,27044,61,39
104,20220919,가락동,29.0,53.0,22.0,18,7,0.031,0.009,0.3,0.002,15407,41,39
105,20220919,거여동,30.0,53.0,19.0,18,7,0.031,0.009,0.3,0.002,6642,19,39
106,20220919,문정동,28.0,60.0,36.0,18,7,0.031,0.009,0.3,0.002,14812,49,39
107,20220919,방이동,29.0,52.0,19.0,18,7,0.031,0.009,0.3,0.002,10856,26,39
108,20220919,삼전동,28.0,52.0,21.0,18,7,0.031,0.009,0.3,0.002,7995,5,39
109,20220919,오금동,29.0,57.0,19.0,18,7,0.031,0.009,0.3,0.002,11489,24,39
110,20220919,잠실동,28.0,53.0,17.0,18,7,0.031,0.009,0.3,0.002,46088,57,39
111,20221115,자양동,12.0,60.0,4.0,28,16,0.015,0.026,0.7,0.002,26055,61,30
112,20221115,중곡동,13.0,61.0,6.0,28,16,0.015,0.026,0.7,0.002,19578,97,30
113,20221115,광장동,11.0,62.0,5.0,28,16,0.015,0.026,0.7,0.002,5713,36,30
114,20221116,자양동,14.0,41.0,26.0,27,16,0.01,0.026,0.8,0.002,26832,61,30
115,20221116,중곡동,15.0,40.0,11.0,27,16,0.01,0.026,0.8,0.002,20238,97,30
116,20221116,구의동,13.0,40.0,23.0,27,16,0.01,0.026,0.8,0.002,24128,74,30
117,20221205,자양동,0.0,31.0,37.0,21,10,0.021,0.021,0.3,0.003,26622,61,47
118,20221205,논현동,-2.0,33.0,41.0,21,10,0.021,0.021,0.3,0.003,34829,19,47
119,20221205,삼성동,-1.0,33.0,49.0,21,10,0.021,0.021,0.3,0.003,48078,95,47
120,20221205,자양동,2.0,25.0,42.0,22,10,0.017,0.024,0.4,0.003,26622,61,49
121,20221205,가락동,1.0,30.0,34.0,22,10,0.017,0.024,0.4,0.003,14876,41,49
122,20221205,거여동,0.0,29.0,57.0,22,10,0.017,0.024,0.4,0.003,6599,19,49
123,20221205,문정동,0.0,29.0,70.0,22,10,0.017,0.024,0.4,0.003,14654,49,49
124,20221205,방이동,2.0,28.0,52.0,22,10,0.017,0.024,0.4,0.003,10606,26,49
